LifeExpectancy,Status,GDP,Polio,Diphtheria,IncomeComposition
75.6,Developing,12126.87614,99,98,0.783
75.4,Developing,1312.46692,98,99,0.788
75.2,Developing,1473.31923,99,99,0.786
75,Developing,14252.29452,98,99,0.781
74.8,Developing,12724.39377,99,99,0.773
74.6,Developing,11371.93895,98,99,0
74.4,Developing,1352.8374,97,97,0
74.2,Developing,9739.82556,99,99,0
74,Developing,9386.716452,93,98,0
73.8,Developing,9358.154162,99,97,0
73.6,Developing,9875.161736,96,95,0
76.3,Developing,13467.1236,93,94,0.826
76.2,Developing,12245.25645,92,94,0.825
76,Developing,12976.63642,99,94,0.823
75.9,Developing,12969.7712,99,91,0.822
75.7,Developing,12726.9836,93,91,0.816
75.5,Developing,1276.265,95,94,0.802
75.6,Developing,8161.36966,97,94,0.794
75.4,Developing,8953.359275,94,93,0.792
74.8,Developing,7193.61764,92,91,0.788
75.2,Developing,5878.76127,92,91,0.782
74.9,Developing,576.883829,95,98,0.78
74.7,Developing,4251.574348,91,98,0.775
74.1,Developing,333.4376,95,96,0.77
74.1,Developing,2579.193168,94,93,0.776
74,Developing,717.694674,85,83,0.771
74.1,Developing,7669.273916,88,83,0.764
74.8,Developing,369.654776,96,94,0.741
74.6,Developing,3994.712355,95,93,0.739
74.4,Developing,3843.591213,96,95,0.736
74.4,Developing,3684.8481,96,95,0.732
73.9,Developing,3526.978143,96,95,0.729
73.5,Developing,3218.381655,96,94,0.72
73.3,Developing,2993.832531,94,93,0.725
73.2,Developing,41.26997,91,89,0.721
73.5,Developing,3138.8873,9,88,0.707
72.9,Developing,2158.299,87,87,0.692
73,Developing,1643.758397,92,9,0.679
73,Developing,1191.96192,93,91,0.668
72.7,Developing,93.1661567,96,94,0.657
72.6,Developing,783.261699,96,94,0.645
72.6,Developing,694.435119,97,94,0.644
72,Developing,622.7427477,96,93,0.639
82.8,Developed,56554.3876,93,93,0.937
82.7,Developed,62214.6912,92,92,0.936
82.5,Developed,67792.3386,91,91,0.933
82.3,Developed,67677.63477,92,92,0.93
82,Developed,62245.129,92,92,0.927
81.9,Developed,51874.848,92,92,0.927
81.7,Developed,42742.99898,92,92,0.925
81.3,Developed,49664.6854,92,92,0.921
81.3,Developed,4991.98289,92,92,0.918
81.2,Developed,36118.28381,92,92,0.915
81,Developed,3416.71483,92,92,0.91
86,Developed,3472.37977,92,92,0.908
83,Developed,23465.38559,92,93,0.905
79.9,Developed,281.81763,92,92,0.902
79.9,Developed,19517.84168,91,92,0.899
79.5,Developed,2169.921,9,9,0.897
81.5,Developed,43665.947,93,93,0.892
81.4,Developed,51322.63997,98,98,0.892
81.1,Developed,554.71532,95,95,0.887
88,Developed,48333.57273,92,92,0.884
88,Developed,51126.74139,89,89,0.88
84,Developed,46657.629,86,86,0.872
82,Developed,47654.18721,83,83,0.87
84,Developed,51386.37665,83,83,0.864
81,Developed,46586.6525,85,85,0.86
79.8,Developed,443.99361,83,83,0.854
79.4,Developed,38242.4252,86,86,0.848
79.3,Developed,36693.4262,83,83,0.841
78.8,Developed,3212.9355,84,84,0.837
78.7,Developed,26351.37568,82,83,0.847
78.6,Developed,24489.73553,83,84,0.837
78.1,Developed,24517.26745,71,81,0.833
72.7,Developing,55.31382,98,96,0.758
72.5,Developing,7891.299776,97,94,0.752
72.2,Developing,7875.756953,96,93,0.745
71.9,Developing,7496.335728,92,89,0.742
71.6,Developing,7189.691229,91,87,0.741
71.1,Developing,5842.85784,85,81,0.737
78,Developing,495.294791,84,81,0.728
73,Developing,5574.6382,85,81,0.719
73,Developing,3851.437869,81,79,0.708
69.2,Developing,2473.85776,8,78,0.682
68.4,Developing,1578.4239,79,75,0.675
68.4,Developing,145.2163,78,77,0.668
67.8,Developing,883.6439965,79,77,0.659
67.8,Developing,763.73858,8,76,0.651
67.5,Developing,73.6838434,77,77,0.642
66.6,Developing,655.974326,75,76,0.636
76.9,Developing,22688.87824,98,98,0.823
76.8,Developing,24983.3792,98,98,0.82
76.7,Developing,251.18329,99,99,0.815
76.5,Developing,23649.36661,99,99,0.812
76.1,Developing,2281.1242,99,99,0.812
76.1,Developing,2722.1389,99,99,0.81
76,Developing,19356.67236,97,98,0.814
75.8,Developing,2367.56535,97,97,0.815
75.6,Developing,2977.1153,97,97,0.813
75.5,Developing,1937.99549,98,98,0.81
75.3,Developing,17959.17854,98,98,0.806
75.2,Developing,15846.47641,98,98,0.803
75,Developing,14221.99259,97,97,0.798
74.9,Developing,1312.33457,98,98,0.796
74.7,Developing,12868.211,99,99,0.794
74.5,Developing,13636.34668,97,97,0.786
71.8,Developing,121.15812,97,97,0.575
71.4,Developing,184.56543,97,97,0.57
71,Developing,951.8894535,96,96,0.565
77,Developing,856.342857,94,94,0.557
73,Developing,835.789341,96,96,0.545
69.9,Developing,757.6717572,94,94,0.535
69.5,Developing,681.125368,97,97,0.523
69.1,Developing,615.7775411,96,96,0.52
68.6,Developing,541.651484,96,94,0.513
68.2,Developing,494.51466,95,94,0.506
67.8,Developing,484.155471,94,93,0.499
67.3,Developing,46.7579167,88,99,0.491
66.8,Developing,432.7388972,9,87,0.484
66.3,Developing,4.6135745,83,83,0.476
65.8,Developing,42.5981152,85,85,0.468
65.3,Developing,45.63371,83,82,0.459
75.5,Developing,15557.8381,97,97,0.794
75.4,Developing,15359.66971,95,94,0.793
75.2,Developing,15472.7814,91,91,0.792
75.1,Developing,15384.8749,88,87,0.785
74.9,Developing,15534.1574,91,91,0.78
74.7,Developing,1595.91232,9,86,0.781
74.6,Developing,16523.32388,93,93,0.779
74.4,Developing,1657.3228,85,85,0.775
74.2,Developing,16462.48556,93,93,0.771
74.1,Developing,15646.5591,85,84,0.766
73.9,Developing,14223.86576,91,92,0.761
73.8,Developing,12868.8639,93,93,0.757
73.7,Developing,1228.5447,9,89,0.753
73.5,Developing,11675.39395,86,87,0.749
73.4,Developing,11513.87189,93,84,0.75
73.3,Developing,11568.1111,86,93,0.741
72.3,Developing,5949.11677,99,99,0.798
72,Developing,8318.429294,97,97,0.796
71.7,Developing,7978.825443,98,98,0.796
71.9,Developing,694.243915,98,98,0.793
72,Developing,6519.71753,98,98,0.787
73,Developing,63.38877,99,98,0.78
70,Developing,5176.172649,98,96,0.771
70,Developing,6376.183153,98,97,0.755
69.8,Developing,4735.484827,9,95,0.739
68.9,Developing,3848.215966,97,99,0.723
68.1,Developing,3126.71767,98,99,0.713
68.2,Developing,2378.33927,99,99,0.703
67.7,Developing,1819.525644,53,5,0.695
67.2,Developing,1479.383142,99,99,0.687
67.7,Developing,1244.373185,99,99,0.681
68,Developing,1276.28834,99,99,0.675
81.1,Developed,4356.875,99,99,0.895
89,Developed,47439.39684,99,99,0.89
87,Developed,4651.38647,99,99,0.889
83,Developed,4474.5717,99,99,0.886
83,Developed,4772.77415,98,98,0.884
80,Developed,4438.23741,98,98,0.878
79.8,Developed,4488.5615,98,98,0.876
79.5,Developed,48424.58927,99,99,0.874
79.5,Developed,4443.83131,99,98,0.871
79.4,Developed,38852.3613,99,98,0.865
78.9,Developed,36967.28292,97,97,0.861
78.8,Developed,35589.71295,96,95,0.88
78.3,Developed,3743.95693,96,95,0.878
78,Developed,2552.3328,96,95,0.875
78,Developed,23121.56635,96,95,0.873
77.6,Developed,2327.4591,96,95,0.869
71,Developing,4849.997495,94,94,0.706
70,Developing,4852.223666,95,95,0.705
69.8,Developing,4688.538443,95,95,0.706
69.4,Developing,4673.63848,98,98,0.702
69.4,Developing,4516.24675,95,95,0.7
69.5,Developing,4344.15177,96,96,0.7
69.5,Developing,4258.788611,98,97,0.7
69.6,Developing,447.22796,94,94,0.699
69.6,Developing,4324.876427,97,96,0.7
69.4,Developing,4187.3783,98,98,0.692
69,Developing,3933.332215,96,96,0.695
68.7,Developing,3831.53819,97,97,0.691
68.4,Developing,3679.99523,95,96,0.684
68.5,Developing,3556.561825,93,89,0.678
68.2,Developing,3419.275719,96,96,0.677
68.3,Developing,3364.423711,91,91,0.668
60,Developing,783.94791,78,82,0.481
59.7,Developing,943.686575,74,78,0.475
59.5,Developing,915.2674586,73,77,0.466
59.3,Developing,837.9551,8,8,0.458
59.1,Developing,825.9427854,77,75,0.454
58.7,Developing,757.695974,77,76,0.451
58.4,Developing,793.45243,8,79,0.448
57.6,Developing,82.1513498,77,75,0.444
57.1,Developing,76.535419,82,82,0.438
56.8,Developing,625.8392,76,74,0.434
56.5,Developing,61.799977,73,7,0.43
56.1,Developing,583.493514,74,72,0.423
55.8,Developing,519.2922847,75,73,0.416
55.6,Developing,418.6985763,76,75,0.407
55.5,Developing,378.73654,77,76,0.395
55.4,Developing,374.1923942,78,78,0.389
69.8,Developing,2613.645177,98,99,0.604
69.4,Developing,2522.7968,98,99,0.596
69.1,Developing,235.882889,97,97,0.589
68.7,Developing,2422.816,97,97,0.581
68.3,Developing,2458.45976,95,95,0.572
67.9,Developing,2178.921383,92,91,0
67.4,Developing,177.234497,93,93,0
67,Developing,1795.18137,96,96,0
66.5,Developing,1741.142552,93,95,0
65.8,Developing,1335.45696,96,95,0
65,Developing,1247.61392,95,95,0
64.2,Developing,197.45788,9,89,0
63.3,Developing,997.7417141,96,95,0
62.5,Developing,885.6382245,89,86,0
61.7,Developing,87.9387673,88,88,0
62,Developing,765.8632358,98,92,0
77.4,Developing,4574.9787,74,82,0.747
77.2,Developing,5193.94932,86,86,0.742
77,Developing,535.86555,87,89,0.735
76.8,Developing,4716.673325,87,92,0.728
76.9,Developing,55.156834,89,88,0.711
76.4,Developing,4611.47298,9,89,0.717
76.1,Developing,4697.89732,9,9,0.716
76,Developing,575.31664,92,91,0.71
75.4,Developing,418.292176,95,95,0.703
75.7,Developing,344.321698,91,87,0.697
75,Developing,2968.41186,95,93,0
75.5,Developing,265.642661,87,84,0
75.2,Developing,2214.732246,87,87,0
75.4,Developing,1761.537647,86,8,0
74.9,Developing,1524.41222,92,91,0
74.6,Developing,1461.7552,87,85,0
65.7,Developing,6532.651,96,95,0.698
65.1,Developing,7497.762376,96,95,0.697
64.2,Developing,77.625783,96,95,0.693
63.4,Developing,729.231453,96,95,0.687
62.2,Developing,7645.21469,96,95,0.678
61.1,Developing,6346.15624,96,95,0.669
59.2,Developing,5185.729845,96,96,0.661
57.5,Developing,5623.379566,96,96,0.646
56.9,Developing,5714.47937,96,96,0.63
54.8,Developing,5374.554867,96,96,0.61
51.7,Developing,5351.253732,96,96,0.593
48.1,Developing,4896.583835,96,96,0.58
46.4,Developing,4163.6596,96,96,0.567
46,Developing,355.618382,97,97,0.558
46.7,Developing,3128.97793,97,97,0.56
47.8,Developing,3349.68823,97,97,0.559
75,Developing,8757.2622,98,96,0.754
74.8,Developing,1226.61731,96,93,0.747
74.7,Developing,12216.9446,96,97,0.734
74.5,Developing,12291.46685,96,95,0.73
74.1,Developing,13167.47289,98,99,0.724
73.8,Developing,11224.1548,99,99,0.716
73.6,Developing,8553.3847,99,99,0.714
73.4,Developing,8787.61375,99,99,0.704
73.3,Developing,7313.557962,99,99,0.7
73,Developing,586.145975,99,99,0.698
72.7,Developing,477.182746,99,99,0.694
72,Developing,3623.47667,99,99,0.695
71.8,Developing,359.587582,99,99,0.699
71.4,Developing,2819.649531,99,99,0.692
71,Developing,3146.95177,99,98,0.685
75,Developing,3739.11936,99,98,0.677
77.7,Developing,3967.8951,99,99,0.864
77.6,Developing,4159.8652,99,99,0.863
77.1,Developing,44597.27968,99,99,0.86
78.3,Developing,47651.2599,99,99,0.852
77.4,Developing,4717.273,99,97,0.846
76.9,Developing,35268.1117,99,95,0.845
76.8,Developing,27965.4754,99,99,0.841
77.2,Developing,37951.286,97,98,0.84
76,Developing,32672.36717,95,99,0.84
76.3,Developing,398.96692,94,97,0.837
76.2,Developing,2612.13345,93,94,0.834
76.4,Developing,21896.6527,92,92,0.828
76,Developing,18555.56649,99,92,0.823
74.8,Developing,16846.2198,99,94,0.82
74.7,Developing,16468.12886,99,97,0.819
74.4,Developing,188.44826,99,99,0.818
74.5,Developed,6993.47736,91,91,0.792
74.3,Developed,7853.335191,88,88,0.787
74.1,Developed,7674.86559,95,95,0.781
73.9,Developed,7378.25539,95,95,0.778
73.7,Developed,7813.83499,95,95,0.775
73.4,Developed,6843.263289,94,94,0.77
73.2,Developed,6955.987733,94,94,0.768
72.9,Developed,7296.122479,96,95,0.761
72.6,Developed,5932.899677,95,95,0.755
72.2,Developed,4513.13628,96,95,0.75
72.1,Developed,3893.68998,97,96,0.745
72.2,Developed,3381.57837,94,95,0.738
72,Developed,271.46824,96,96,0.729
71.8,Developed,287.534843,94,93,0.723
71.6,Developed,1764.97387,94,94,0.713
71.1,Developed,169.28586,94,93,0.709
59.9,Developing,615.592225,91,91,0.399
59.3,Developing,75.1464113,91,91,0.398
59,Developing,699.452847,89,88,0.392
58.6,Developing,673.8227,9,9,0.384
58.1,Developing,666.842783,9,91,0.377
57.5,Developing,575.4464527,9,91,0.365
56.9,Developing,552.7455521,91,92,0.356
56.1,Developing,569.7612784,92,93,0.345
55.3,Developing,475.11122,93,89,0.334
54.3,Developing,422.6332374,94,86,0.325
53.3,Developing,46.998871,94,82,0
52.4,Developing,371.323865,83,79,0
51.6,Developing,332.344351,83,79,0
51,Developing,26.7635413,69,69,0
56,Developing,235.4912324,62,62,0
51,Developing,226.4759814,45,45,0
59.6,Developing,33.681223,94,94,0.406
59.1,Developing,312.7489794,95,95,0.404
58.6,Developing,282.7555252,96,96,0.398
58,Developing,265.285651,96,96,0.393
57.4,Developing,26.479973,95,96,0.385
56.8,Developing,231.1943256,94,96,0.361
56.2,Developing,24.944652,96,94,0.336
55.3,Developing,196.2472628,89,92,0.319
54.8,Developing,17.79995,93,99,0.309
54.1,Developing,165.8794176,88,92,0.29
53.4,Developing,15.57434,82,87,0.286
52.6,Developing,127.4296648,76,83,0.279
51.9,Developing,112.849373,75,82,0.276
51.5,Developing,122.4335893,74,81,0.268
51.3,Developing,133.7427689,72,81,0.268
58,Developing,135.9984455,71,8,0.268
73.3,Developing,2954.119467,93,93,0.646
73,Developing,3529.61843,95,95,0.643
72.8,Developing,3558.796314,93,93,0.643
72.7,Developing,348.482762,94,94,0.636
72.6,Developing,367.429453,9,9,0.632
72.5,Developing,3312.825985,99,99,0.627
72.4,Developing,3444.5566,99,99,0.621
72.4,Developing,3638.95946,99,99,0.615
72.3,Developing,3112.285712,98,98,0.602
72.1,Developing,234.28992,97,96,0.596
71.8,Developing,248.13459,95,95,0.582
71.4,Developing,1976.45856,94,93,0.574
71.1,Developing,1768.92132,93,92,0.572
77,Developing,1373.515636,92,91,0.569
73,Developing,1268.884564,91,9,0.562
69.9,Developing,1239.377855,9,9,0
68.7,Developing,1163.18977,87,89,0.558
68.3,Developing,198.687123,87,88,0.553
67.8,Developing,128.419568,66,83,0.546
67.4,Developing,95.244132,84,86,0.54
67,Developing,882.491462,87,88,0.533
66.6,Developing,785.6928841,88,89,0.519
66.1,Developing,738.2326684,95,94,0.52
65.6,Developing,745.7877873,91,91,0.511
65,Developing,631.675789,82,82,0.495
64.1,Developing,539.8791529,8,8,0.483
62.9,Developing,474.2238766,82,82,0.47
61.5,Developing,48.615184,86,85,0.458
63,Developing,362.4213785,69,69,0.445
59.3,Developing,339.676984,54,54,0.427
58.5,Developing,321.22634,59,6,0.412
57.7,Developing,3.685949,62,59,0.401
57.3,Developing,1244.429421,83,84,0.514
56.7,Developing,1441.1417,86,87,0.507
56.4,Developing,1365.34419,88,89,0.501
55.9,Developing,1255.648189,85,85,0.496
55.6,Developing,1295.649726,8,82,0.486
55.3,Developing,1182.869227,83,84,0.48
54.8,Developing,123.19538,79,8,0.473
54.2,Developing,1233.524316,82,84,0.466
53.6,Developing,111.71186,81,82,0.456
53.3,Developing,12.989164,78,81,0.456
52.8,Developing,952.1872484,79,8,0.456
52.1,Developing,93.211716,72,73,0.455
51.8,Developing,824.8689393,72,73,0.452
51.6,Developing,676.397661,66,66,0.452
51.5,Developing,614.6729339,61,63,0.437
51.4,Developing,68.414399,57,62,0.433
82.2,Developing,43315.744,91,91,0.919
82,Developing,544.43376,91,91,0.912
81.8,Developing,52413.72116,91,91,0.909
81.6,Developing,52496.69487,99,95,0.907
81.5,Developing,5282.2176,87,87,0.903
81.2,Developing,47447.4762,88,89,0.898
81,Developing,4773.45436,89,91,0.898
87,Developing,46596.33599,89,92,0.897
85,Developing,44544.5268,9,94,0.894
85,Developing,4386.69948,95,95,0.891
81,Developing,36189.58838,93,93,0.886
80,Developing,31979.87195,91,91,0.881
79.7,Developing,28172.14883,88,91,0.877
79.5,Developing,24167.8431,88,88,0.872
79.4,Developing,23691.59472,88,89,0.867
79.1,Developing,24124.16917,88,89,0.864
52.5,Developing,348.381417,47,47,0.347
58,Developing,377.132274,47,47,0.345
49.9,Developing,337.4849614,23,23,0.37
53,Developing,486.41114,47,47,0.366
49.8,Developing,494.336779,47,47,0.361
49.2,Developing,446.4434494,46,45,0.352
48.6,Developing,449.961839,45,42,0.345
47.6,Developing,456.8614334,46,45,0.338
46.8,Developing,397.148467,46,48,0.33
46.3,Developing,347.673678,47,51,0.323
45.9,Developing,327.1149461,47,54,0.319
45.7,Developing,313.21598,45,51,0.315
45.7,Developing,286.25819,44,47,0.316
45.6,Developing,253.768343,42,44,0.315
45.6,Developing,243.1586486,4,4,0.314
46,Developing,243.5429317,38,37,0.312
53.1,Developing,777.248751,52,46,0.394
52.6,Developing,125.998515,44,37,0.39
52.2,Developing,986.13177,46,39,0.387
51.8,Developing,973.472574,51,4,0.381
51.6,Developing,989.2363633,4,33,0.37
51.2,Developing,896.5697341,43,39,0.36
57,Developing,84.455939,32,24,0.343
49.6,Developing,929.772391,3,19,0.338
49.4,Developing,81.683884,38,28,0.306
48.5,Developing,712.1847694,49,4,0.303
48.6,Developing,66.2421396,37,25,0.306
48.5,Developing,454.6765879,31,21,0.301
48.4,Developing,292.5914364,36,23,0.284
48.1,Developing,22.854821,31,25,0.303
48,Developing,197.3156442,26,26,0.3
47.6,Developing,166.231785,3,36,0
85,Developing,13653.2264,96,96,0.845
83,Developing,14817.37778,95,95,0.841
81,Developing,15941.39722,9,91,0.831
79.9,Developing,15431.9293,9,9,0.826
79.8,Developing,1475.69242,93,94,0.82
79.1,Developing,1286.17764,92,92,0.815
79.3,Developing,1243.32824,94,94,0.816
79.6,Developing,1781.3668,95,95,0.804
78.9,Developing,1526.87746,95,96,0.797
78.9,Developing,9484.681227,94,94,0.796
78.4,Developing,7615.3468,92,91,0.79
78,Developing,621.828325,94,93,0.781
77.9,Developing,4787.699532,96,96,0.775
77.8,Developing,4463.545867,97,97,0.768
77.3,Developing,4595.666327,96,97,0.761
77.3,Developing,511.368479,91,91,0.755
76.1,Developing,869.211938,99,99,0.734
75.8,Developing,7683.5238,99,99,0.723
75.6,Developing,777.77594,99,99,0.713
75.4,Developing,6337.882993,99,99,0.703
75.2,Developing,5633.79616,99,99,0.7
75,Developing,456.512487,99,99,0.691
74.9,Developing,3838.434292,99,99,0.682
74.5,Developing,3471.247547,99,97,0.672
74.4,Developing,2695.366223,94,93,0.659
74.2,Developing,299.229676,94,93,0.646
73.9,Developing,1753.4178,87,87,0.634
73.5,Developing,158.668462,87,87,0.622
73.1,Developing,1288.642924,87,86,0.61
72.7,Developing,1148.5857,86,86,0.6
72.2,Developing,153.1824,86,86,0.592
71.7,Developing,959.372181,86,85,0.583
74.8,Developing,644.525556,91,91,0.724
74.6,Developing,7913.383432,9,9,0.72
74.4,Developing,83.5863,91,91,0.712
74.3,Developing,7884.984429,91,91,0.707
74.2,Developing,7227.73968,85,85,0.7
73.6,Developing,625.65544,88,88,0.695
73.6,Developing,5148.422113,92,92,0.691
73.5,Developing,5433.7245,92,92,0.683
73.5,Developing,4674.21961,93,93,0.675
73.1,Developing,379.78776,94,93,0.669
73.1,Developing,3386.256,93,93,0.658
72.8,Developing,274.249442,89,89,0.658
72.4,Developing,2246.257472,92,92,0.659
71.8,Developing,2355.725857,83,81,0.656
71.5,Developing,2395.856551,83,8,0.653
71.4,Developing,2472.197831,82,79,0.65
63.5,Developing,727.6463868,92,91,0.498
63.2,Developing,852.954379,87,87,0.497
62.9,Developing,834.341949,85,87,0.49
62.5,Developing,788.632653,85,86,0.484
62.2,Developing,829.7586885,85,83,0.479
61.8,Developing,769.1742883,82,74,0.476
61.3,Developing,778.5454199,84,83,0.465
61,Developing,795.97519,81,81,0.461
66,Developing,72.759313,75,75,0.459
63,Developing,648.38717,69,69,0.451
60,Developing,621.93372,67,68,0.434
59.8,Developing,616.4197236,73,76,0
59.6,Developing,544.566526,8,8,0
59.5,Developing,433.2691451,98,89,0
59.5,Developing,395.9319363,7,7,0
59.5,Developing,375.8528566,7,7,0
79.6,Developing,1146.36273,92,92,0.775
79.5,Developing,1647.44179,91,91,0.768
79.4,Developing,1569.66631,95,95,0.762
79.2,Developing,9985.36959,9,91,0.758
79,Developing,9186.59639,82,85,0.752
78.1,Developing,8199.414621,93,88,0.749
79.2,Developing,689.396224,8,86,0.747
78.9,Developing,6911.136136,89,9,0.74
78.9,Developing,612.623418,89,89,0.734
78,Developing,5245.187372,89,89,0.727
78.6,Developing,4697.11135,91,91,0.723
77.7,Developing,4425.57467,9,9,0.719
78,Developing,4167.71417,88,88,0.715
78.3,Developing,462.14965,94,94,0.712
77.5,Developing,3981.52847,92,91,0.708
77.6,Developing,388.363689,8,88,0.702
78,Developed,11579.6674,94,94,0.823
77.8,Developed,13467.46827,95,95,0.82
77.7,Developed,13574.749,96,96,0.817
77.1,Developed,13235.97757,96,96,0.815
77,Developed,14539.18421,96,96,0.808
76.6,Developed,1355.74586,97,97,0.803
76.3,Developed,14157.14416,96,96,0.803
76,Developed,15893.8656,96,96,0.8
75.8,Developed,13546.69872,96,96,0.793
75.9,Developed,11363.41845,96,96,0.783
75.2,Developed,1224.2459,96,96,0.777
75.4,Developed,9365.742468,96,96,0.771
74.7,Developed,785.881418,95,94,0.765
74.8,Developed,653.71637,95,95,0.759
74.9,Developed,5245.421419,94,94,0.749
74.7,Developed,4919.62869,94,93,0.739
79.1,Developing,762.261218,99,99,0.773
79,Developing,75.5199,99,99,0.772
78.7,Developing,676.15344,99,99,0.773
78.7,Developing,6425.941119,98,99,0.778
78.8,Developing,675.92436,99,97,0.78
78,Developing,5676.14143,99,96,0.784
78.1,Developing,5484.7763,99,96,0.782
77.9,Developing,5376.447622,99,95,0.771
78.1,Developing,5184.494227,99,93,0.754
78,Developing,4669.6916,99,89,0.732
77.2,Developing,3779.577,99,89,0.719
77.3,Developing,339.716256,98,88,0.705
77.4,Developing,3192.669378,98,72,0.694
77.7,Developing,2994.339988,98,99,0.692
76.7,Developing,2832.188893,99,98,0.686
76.9,Developing,2741.11542,98,95,0.679
85,Developed,2375.1127,97,97,0.854
83,Developed,2734.88382,99,99,0.85
81,Developed,2797.96736,99,99,0.85
80,Developed,28951.15556,99,99,0.85
79.7,Developed,32233.83942,99,99,0.847
79.5,Developed,3818.46396,99,99,0.853
79.3,Developed,3215.8159,99,99,0.849
79.1,Developed,3539.7488,97,97,0.844
78.9,Developed,31386.63265,97,97,0.836
78.8,Developed,27169.99256,97,97,0.829
78.7,Developed,25324.48666,98,98,0.826
78.6,Developed,23932.49128,98,98,0.823
78.5,Developed,2293.4789,98,98,0.815
78.4,Developed,16372.29152,98,98,0.805
78.2,Developed,1562.92433,97,97,0.8
78.1,Developed,14672.8826,97,97,0.798
86,Developed,5314.64416,93,93,0.923
84,Developed,62425.5392,94,94,0.926
81,Developed,61191.19263,94,94,0.924
80,Developed,5857.521,94,94,0.922
79.7,Developed,61753.667,91,91,0.91
79.2,Developed,5841.41122,9,9,0.906
78.9,Developed,58163.29359,89,89,0.906
78.8,Developed,64322.6664,88,88,0.906
78.4,Developed,58487.451,87,87,0.904
78.1,Developed,5226.99311,93,93,0.902
78.1,Developed,48799.8237,93,93,0.897
77.7,Developed,46511.6457,95,95,0.893
77.3,Developed,4458.7764,96,96,0.882
77,Developed,33228.69291,98,98,0.875
77,Developed,3751.64946,97,97,0.862
76.9,Developed,3743.55917,97,97,0.86
63.5,Developing,1862.167274,84,84,0.47
63,Developing,174.91511,78,78,0.467
62.7,Developing,1622.637974,82,82,0.464
62.2,Developing,1536.15685,81,81,0.46
61.8,Developing,143.986898,87,87,0.451
61.3,Developing,1325.99724,88,88,0.441
69,Developing,1253.657431,89,89,0.436
62,Developing,1214.77118,89,89,0.427
59.8,Developing,147.586896,88,88,0.416
59.1,Developing,965.6693779,72,72,0.405
58.6,Developing,94.7297489,71,71,0.396
58.1,Developing,864.184726,64,64,0.388
58,Developing,819.974118,68,68,0.378
57.9,Developing,792.15412,62,62,0.372
57.7,Developing,781.2322196,49,53,0.363
57.4,Developing,768.176767,46,46,0.361
